id_domanda,domanda,risposta_1,risposta_2,risposta_3,risposta_4
1,Qual è la maschera tipica del Carnevale di Biella?,Arlecchino,La Bela Majin,Babi,Gianduia
2,In che anno Biella fu fondata?,1245,1379,1160,1472
3,Chi fu il poeta biellese autore del "Cansoniere biellèis"?,Guido Pozzo,Giuseppe Ratti,Luigi Borello,Quintino Sella
4,Qual è il quartiere storico di Biella situato sulla collina?,Piazzo,Riva,Chiavazza,Villaggio Lamarmora
5,Cosa collega Biella Piano con il Piazzo?,Funicolare,Ascensore,Scala mobile,Trenino
6,Quale santo è il patrono di Biella?,San Sebastiano,San Giovanni,Santo Stefano,San Giacomo
7,In quale mese si celebra la festa patronale di Biella?,Giugno,Agosto,Settembre,Dicembre
8,Quale fiume attraversa la città di Biella?,Cervo,Po,Sesia,Dora
9,Chi fu l'eroe biellese della battaglia di Torino del 1706?,Quintino Sella,Pietro Micca,Giuseppe Garibaldi,Camillo Cavour
10,Qual è il piatto tipico biellese a base di mais?,Paniscia,Risotto alla milanese,Bagna cauda,Polenta concia
11,Quale importante industria ha caratterizzato Biella?,Tessile,Automobilistica,Chimica,Alimentare
12,Come si chiamano le caratteristiche vie coperte del Piazzo?,Portici,Arcate,Gallerie,Logge
13,Quale monte sovrasta la città di Biella?,Monviso,Rosa,Cervino,Mucrone
14,Chi fondò il Lanificio Sella (primo lanificio meccanizzato in Italia) nel 1816?,Quintino Sella,Pietro Sella,Giuseppe Sella,Ermenegildo Sella
15,Quale dolce tipico si prepara durante il Carnevale biellese?,Miasse,Bugie,Canestrelli,Baci di dama
16,Quale famoso architetto progettò il Santuario di Oropa?,Juvarra,Galletti,Guarini,Vanvitelli
17,In quale frazione di Biella si trova il Santuario di Oropa?,Favaro,Cossato,Oropa,Candelo
18,Quale castello medievale si trova vicino a Biella?,Castello di Masino,Castello di Gaglianico,Castello di Rivoli,Castello di Venaria
19,Come viene chiamato il centro storico situato in alto?,Biella Alta,Piazzo,Borgo Medievale,Cittadella
20,Quale prodotto tessile ha reso famosa Biella nel mondo?,Seta,Lana,Cotone,Lino
