id_domanda,domanda,risposta_1,risposta_2,risposta_3,risposta_4
1,Qual è la maschera tipica del Carnevale di Biella?,Arlecchino,La Bela Majin,Babi,Gianduia
2,In che anno Biella fu fondata?,1245,1379,1160,1472
3,Chi fu il poeta biellese autore del "Cansoniere biellèis"?,Guido Pozzo,Giuseppe Ratti,Luigi Borello,Quintino Sella
4,Qual è il quartiere storico di Biella situato sulla collina?,Piazzo,Riva,Chiavazza,Villaggio Lamarmora
5,Cosa collega Biella Piano con il Piazzo?,Funicolare,Ascensore,Scala mobile,Trenino
6,Quale santo è il patrono di Biella?,San Sebastiano,San Giovanni,Santo Stefano,San Giacomo
7,In quale mese si celebra la festa patronale di Biella?,Giugno,Agosto,Settembre,Dicembre
8,Quale fiume attraversa la città di Biella?,Cervo,Po,Sesia,Dora
9,Chi fu l'eroe biellese della battaglia di Torino del 1706?,Quintino Sella,Pietro Micca,Giuseppe Garibaldi,Camillo Cavour
10,Qual è il piatto tipico biellese a base di mais?,Paniscia,Risotto alla milanese,Bagna cauda,Polenta concia
11,Quale importante industria ha caratterizzato Biella?,Tessile,Automobilistica,Chimica,Alimentare
12,Come si chiamano le caratteristiche vie coperte del Piazzo?,Portici,Arcate,Gallerie,Logge
13,Quale monte sovrasta la città di Biella?,Monviso,Rosa,Cervino,Mucrone
14,Chi fondò il Lanificio Sella (primo lanificio meccanizzato in Italia) nel 1816?,Quintino Sella,Pietro Sella,Giuseppe Sella,Ermenegildo Sella
15,Quale dolce tipico si prepara durante il Carnevale biellese?,Miasse,Bugie,Canestrelli,Baci di dama
16,Quale famoso architetto progettò il Santuario di Oropa?,Juvarra,Galletti,Guarini,Vanvitelli
17,In quale frazione di Biella si trova il Santuario di Oropa?,Favaro,Cossato,Oropa,Candelo
18,Quale castello medievale si trova vicino a Biella?,Castello di Masino,Castello di Gaglianico,Castello di Rivoli,Castello di Venaria
19,Come viene chiamato il centro storico situato in alto?,Biella Alta,Piazzo,Borgo Medievale,Cittadella
20,Quale prodotto tessile ha reso famosa Biella nel mondo?,Seta,Lana,Cotone,Lino
21,Innamorato come i ciechi con gli odori come i muti coi rumori... è l'inizio di una tra le piu famose canzoni di quale cantante italiano?,Bresh,Olly,Ghali,Irama
22,Chi tra questi attori/attrici è nel cast della serie tv Stranger Things?,Joe Kerry,Chris Hemsworth,Zendaya,Emma Watson
23,Quale programma TV nel 2025 ha avuto come vincitrice Roberta Scandurra?,Masterchef,Amici,X-Factor,Italia's got Talent
24,Chi è l'allenatore della nazionale italiana di calcio?,Conte,Spalletti,Mancini,Gattuso
25,Quale tra queste discipline non troviamo alle olimpiadi di Milano Cortina?,Sci freestyle,Biathlon,Bob,Decathlon
26,Chi tra questi cantanti non ha fatto uscire alcun disco nel 2025?,Anna,Sfera Ebbasta,Achille Lauro,Annalisa
27,Quale serie TV italiana è ambientata in un carcere minorile di Napoli?,Gomorra,Suburra,Mare Fuori,Baby
28,Chi è il tennista italiano che è riuscito a raggiungere il primo posto del ranking mondiale ATP?,Matteo Berrettini,Jannik Sinner,Lorenzo Musetti,Fabio Fognini
29,Chi è l'imprenditore proprietario di Tesla e SpaceX?,Elon Musk,Mark Zuckerberg,Jeff Bezos,Bill Gates
30,Qual è il manga più venduto al mondo?,Dragon Ball,Naruto,One Piece,Demon Slayer
31,Chi ha condotto il Festival di Sanremo per cinque edizioni consecutive dal 2020 al 2024?,Carlo Conti,Fabio Fazio,Gerry Scotti,Amadeus
32,Quale scuderia di Formula 1 ha ingaggiato Lewis Hamilton?,Red Bull,Mercedes,Ferrari,McLaren
33,Come si chiama l'emozione ""arancione"" del film ""Inside Out 2""?,Ansia,Invidia,Noia,Imbarazzo
34,Quale cantante italiano è l'autore della saga discografica ""La Divina Commedia""?,Geolier,Tedua,Gue,Marracash
35,Chi è la protagonista della serie Netflix ""Mercoledì"" diretta da Tim Burton?,Millie Bobby Brown,Zendaya,Jenna Ortega,Sadie Sink
36,In quale anno è stato lanciato YouTube?,2005,2003,2007,2010
37,Chi ha scritto "Harry Potter"?,Stephen King,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling
38,Chi ha vinto l'Eurovision Song Contest 2025?,JJ,Måneskin,BadBunny,Gabry Ponte
39,Quale supereroe fa parte dei Guardiani della Galassia?,Iron Man,Star-Lord,Batman,Spider-Man
40,Chi è il coreografo/la coreografa diventato/a famoso/a in tutta Italia dopo Sanremo 2025 per il balletto sulla canzone di Gaia?,Giuseppe Picone,Roberto Bolle,Elena D'Amario,Carlos Diaz Gandia
